ts,running,waiting,kv_cache_usage_perc,error
1783033536.363875,16.0,0.0,0.012683000263445154,
1783033536.4691935,16.0,0.0,0.01328516051334161,
1783033536.5744336,16.0,0.0,0.01328516051334161,
1783033536.679748,16.0,0.0,0.01328516051334161,
1783033536.78482,16.0,0.0,0.01328516051334161,
1783033536.8898928,16.0,0.0,0.01328516051334161,
1783033536.9949582,16.0,0.0,0.01328516051334161,
1783033537.1000295,16.0,0.0,0.013887320763238065,
1783033537.2051115,16.0,0.0,0.013887320763238065,
1783033537.3104084,16.0,0.0,0.013887320763238065,
1783033537.4155073,16.0,0.0,0.013887320763238065,
1783033537.520607,16.0,0.0,0.013887320763238065,
1783033537.6256213,16.0,0.0,0.01396259079447515,
1783033537.7306185,16.0,0.0,0.01448948101313463,
1783033537.835648,16.0,0.0,0.01448948101313463,
1783033537.940904,16.0,0.0,0.01448948101313463,
1783033538.0459652,16.0,0.0,0.01448948101313463,
1783033538.1510272,16.0,0.0,0.01448948101313463,
1783033538.2564266,16.0,0.0,0.015091641263031086,
1783033538.361511,16.0,0.0,0.015091641263031086,
1783033538.4665792,16.0,0.0,0.015091641263031086,
1783033538.5716326,16.0,0.0,0.015091641263031086,
1783033538.6770382,16.0,0.0,0.015091641263031086,
1783033538.782195,16.0,0.0,0.015091641263031086,
1783033538.887262,16.0,0.0,0.015693801512927652,
1783033538.992576,16.0,0.0,0.015693801512927652,
1783033539.0976007,16.0,0.0,0.015693801512927652,
1783033539.2026174,16.0,0.0,0.015693801512927652,
1783033539.308055,16.0,0.0,0.015693801512927652,
1783033539.4131265,16.0,0.0,0.015769071544164737,
1783033539.5181544,16.0,0.0,0.016295961762824107,
1783033539.6232033,16.0,0.0,0.016295961762824107,
1783033539.7283344,16.0,0.0,0.016295961762824107,
1783033539.8337097,16.0,0.0,0.016295961762824107,
1783033539.9389203,16.0,0.0,0.016295961762824107,
1783033540.043963,16.0,0.0,0.016898122012720673,
1783033540.1492774,16.0,0.0,0.016898122012720673,
1783033540.2543967,16.0,0.0,0.016898122012720673,
1783033540.3594415,16.0,0.0,0.016898122012720673,
1783033540.4645429,16.0,0.0,0.016898122012720673,
1783033540.569606,16.0,0.0,0.016973392043957647,
1783033540.6748304,16.0,0.0,0.01750028226261713,
1783033540.779915,16.0,0.0,0.01750028226261713,
1783033540.885222,16.0,0.0,0.01750028226261713,
1783033540.9903147,16.0,0.0,0.01750028226261713,
1783033541.09571,16.0,0.0,0.01750028226261713,
1783033541.2007477,16.0,0.0,0.018102442512513695,
1783033541.306816,16.0,0.0,0.018102442512513695,
1783033541.411971,16.0,0.0,0.018102442512513695,
1783033541.5171463,16.0,0.0,0.018102442512513695,
1783033541.6221592,16.0,0.0,0.018102442512513695,
1783033541.7272418,16.0,0.0,0.018102442512513695,
1783033541.832344,16.0,0.0,0.01870460276241015,
1783033541.9376276,16.0,0.0,0.01870460276241015,
1783033542.042694,16.0,0.0,0.01870460276241015,
